model,temperature,success,response,time_seconds,error,is_correct,is_gibberish,timed_out
qwen3,0.0,False,,77.49,TIMEOUT (>77.5s),,,True
qwen3,0.1,False,,76.51,TIMEOUT (>76.5s),,,True
qwen3,0.2,False,,76.59,TIMEOUT (>76.6s),,,True
qwen3,0.3,False,,76.39,TIMEOUT (>76.4s),,,True
qwen3,0.4,False,,76.58,TIMEOUT (>76.6s),,,True
qwen3,0.5,False,,76.43,TIMEOUT (>76.4s),,,True
qwen3,0.6,False,,76.76,TIMEOUT (>76.8s),,,True
qwen3,0.7,False,,76.48,TIMEOUT (>76.5s),,,True
qwen3,0.8,False,,76.56,TIMEOUT (>76.6s),,,True
qwen3,0.9,False,,76.61,TIMEOUT (>76.6s),,,True
qwen3,1.0,False,,76.36,TIMEOUT (>76.4s),,,True
phi4-mini,0.0,True,4,0.63,,True,False,False
phi4-mini,0.1,True,4,1.08,,True,False,False
phi4-mini,0.2,True,4,0.35,,True,False,False
phi4-mini,0.3,True,4,0.36,,True,False,False
phi4-mini,0.4,True,4,0.3,,True,False,False
phi4-mini,0.5,True,4,0.33,,True,False,False
phi4-mini,0.6,True,4,0.21,,True,False,False
phi4-mini,0.7,True,4,0.28,,True,False,False
phi4-mini,0.8,True,4,0.3,,True,False,False
phi4-mini,0.9,True,4,0.35,,True,False,False
phi4-mini,1.0,True,4,0.23,,True,False,False
phi4,0.0,False,,76.31,TIMEOUT (>76.3s),,,True
phi4,0.1,False,,76.44,TIMEOUT (>76.4s),,,True
phi4,0.2,False,,76.62,TIMEOUT (>76.6s),,,True
phi4,0.3,False,,76.44,TIMEOUT (>76.4s),,,True
phi4,0.4,False,,76.57,TIMEOUT (>76.6s),,,True
phi4,0.5,False,,76.62,TIMEOUT (>76.6s),,,True
phi4,0.6,True,4,3.97,,True,False,False
phi4,0.7,True,4,0.54,,True,False,False
phi4,0.8,True,4,0.64,,True,False,False
phi4,0.9,True,4,0.65,,True,False,False
phi4,1.0,True,4,0.58,,True,False,False
llama3.2,0.0,True,4,0.9,,True,False,False
llama3.2,0.1,True,4,0.37,,True,False,False
llama3.2,0.2,True,4,0.33,,True,False,False
llama3.2,0.3,True,4,0.38,,True,False,False
llama3.2,0.4,True,4,0.88,,True,False,False
llama3.2,0.5,True,4,0.16,,True,False,False
llama3.2,0.6,True,4,0.15,,True,False,False
llama3.2,0.7,True,4,0.16,,True,False,False
llama3.2,0.8,True,4,0.18,,True,False,False
llama3.2,0.9,True,4,0.14,,True,False,False
llama3.2,1.0,True,4,0.14,,True,False,False
gpt-oss,0.0,True,4,3.88,,True,False,False
gpt-oss,0.1,True,4,3.93,,True,False,False
gpt-oss,0.2,True,4,5.44,,True,False,False
gpt-oss,0.3,True,4,13.12,,True,False,False
gpt-oss,0.4,True,4,6.06,,True,False,False
gpt-oss,0.5,True,4,4.64,,True,False,False
gpt-oss,0.6,True,4,4.34,,True,False,False
gpt-oss,0.7,True,4,3.78,,True,False,False
gpt-oss,0.8,True,4,4.43,,True,False,False
gpt-oss,0.9,True,4,3.94,,True,False,False
gpt-oss,1.0,True,4,17.51,,True,False,False
granite3.3,0.0,True,4,0.34,,True,False,False
granite3.3,0.1,True,4,0.79,,True,False,False
granite3.3,0.2,True,4,0.76,,True,False,False
granite3.3,0.3,True,4,0.15,,True,False,False
granite3.3,0.4,True,4,0.15,,True,False,False
granite3.3,0.5,True,4,0.15,,True,False,False
granite3.3,0.6,True,4,0.14,,True,False,False
granite3.3,0.7,True,4,0.15,,True,False,False
granite3.3,0.8,True,4,0.14,,True,False,False
granite3.3,0.9,True,4,0.14,,True,False,False
granite3.3,1.0,True,4,0.68,,True,False,False
gemma3,0.0,True,4,0.23,,True,False,False
gemma3,0.1,True,4,0.21,,True,False,False
gemma3,0.2,True,4,0.28,,True,False,False
gemma3,0.3,True,4,0.57,,True,False,False
gemma3,0.4,True,4,0.18,,True,False,False
gemma3,0.5,True,4,0.17,,True,False,False
gemma3,0.6,True,4,0.21,,True,False,False
gemma3,0.7,True,4,0.21,,True,False,False
gemma3,0.8,True,4,0.16,,True,False,False
gemma3,0.9,True,4,0.16,,True,False,False
gemma3,1.0,True,4,0.2,,True,False,False
